خم,0.28,0.54
من,0.54,0.66
أي,0.66,0.84
واحدة,0.84,1.32
معها,1.32,1.68
المثاح,1.68,2.08
وربح,2.08,2.46
عشرت,2.46,2.84
على,2.84,2.98
في,2.98,3.12
دولار,3.12,3.52
انزاع,3.56,3.92
سابة,3.92,4.3
العينين,4.3,4.72
وبحط,4.72,5.08
عن,5.08,5.2
الاحتلفات,5.2,5.8
الفتات,5.82,6.22
على,6.22,6.4
اليومي,6.4,6.74
المعالمثاح,6.74,7.42
إذا,7.44,7.64
بلخ,7.64,7.92
الفسكار,7.92,8.5
انه,8.74,9.04
امام,9.04,9.26
متطبقةً,9.26,10.06
عشرت,10.48,11.0
على,11.0,11.22
افأيه,11.22,11.82
مامها,11.82,12.14
المثاح,12.14,12.66
او,12.94,13.44
سا,13.44,13.64
اختار,13.64,13.88
الفتات,13.88,14.2
على,14.2,14.38
اليومي,14.38,14.7
داخمين,16.06,16.46
كصحية,16.46,17.16
راااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا,47.14,47.16
ااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا,47.16,77.14
